id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
265,Women,Apparel,Jacket,Denim Jacket,Peach,Spring,2021.0,Ethnic,Women Denim Jacket Peach
266,Men,,Sandals,Heeled Sandals,Green,Winter,2010.0,Travel,Men Heeled Sandals Green
267,Men,Apparel,Jacket,Leather Jacket,Green,Spring,2021.0,Ethnic,Men Leather Jacket Green
268,Women,Footwear,Sandals,Heeled Sandals,Olive,Winter,2013.0,Travel,Women Heeled Sandals Olive
269,Men,Apparel,Jacket,Denim Jacket,,Winter,2025.0,Ethnic,Men Denim Jacket Black
270,Women,Apparel,Bottomwear,Shorts,Peach,Spring,2010.0,Formal,Women Shorts Peach
271,Men,Footwear,Shoes,Sneakers,White,Summer,2018.0,Sports,Men Sneakers White
272,Women,Footwear,Flip Flops,Beach Flip Flops,Coral,Winter,2024.0,Sports,Women Beach Flip Flops Coral
273,Women,Footwear,Sandals,Heeled Sandals,,Spring,2017.0,Party,Women Heeled Sandals Olive
274,Men,Apparel,Dress,Mini Dress,Yellow,Summer,2018.0,Formal,Men Mini Dress Yellow
275,Women,Apparel,Bottomwear,Trousers,Red,Winter,2017.0,Party,Women Trousers Red
276,Women,Apparel,Topwear,Shirt,Yellow,Fall,2025.0,Ethnic,Women Shirt Yellow
277,Women,Footwear,Sandals,Flat Sandals,Turquoise Blue,,2022.0,Travel,Women Flat Sandals Turquoise Blue
278,Men,Footwear,Flip Flops,Beach Flip Flops,White,Fall,2017.0,Party,Men Beach Flip Flops White
279,Women,Footwear,Shoes,Sneakers,Coral,Winter,2013.0,Travel,Women Sneakers Coral
280,Men,Footwear,Flip Flops,Beach Flip Flops,Turquoise Blue,Fall,2025.0,Party,Men Beach Flip Flops Turquoise Blue
281,Men,Footwear,Sandals,Heeled Sandals,Green,Fall,2021.0,Ethnic,Men Heeled Sandals Green
282,Men,Footwear,Flip Flops,Beach Flip Flops,Turquoise Blue,Spring,2024.0,Casual,Men Beach Flip Flops Turquoise Blue
283,Women,Apparel,Topwear,T-shirt,Yellow,Winter,2020.0,Party,Women T-shirt Yellow
284,Women,Footwear,Shoes,Sneakers,Navy Blue,Winter,2017.0,Travel,Women Sneakers Navy Blue
285,Men,Apparel,Jacket,Denim Jacket,Black,Fall,2014.0,Casual,Men Denim Jacket Black
286,Men,Apparel,Dress,Mini Dress,Peach,Spring,2018.0,Ethnic,Men Mini Dress Peach
287,Women,Footwear,,Beach Flip Flops,Black,Spring,2019.0,Party,Women Beach Flip Flops Black
288,Women,Footwear,Flip Flops,Beach Flip Flops,Olive,Fall,2017.0,Casual,Women Beach Flip Flops Olive
289,Men,Footwear,Shoes,Formal Shoes,Red,Fall,2019.0,Travel,Men Formal Shoes Red
290,,Footwear,Shoes,Formal Shoes,Navy Blue,,2011.0,,Women Formal Shoes Navy Blue
291,Men,Footwear,Flip Flops,Beach Flip Flops,Peach,Fall,2024.0,Travel,Men Beach Flip Flops Peach
292,Men,Footwear,Flip Flops,Beach Flip Flops,Black,Winter,2022.0,Sports,Men Beach Flip Flops Black
293,Women,Footwear,Shoes,Sneakers,Turquoise Blue,Summer,2018.0,Sports,Women Sneakers Turquoise Blue
294,Men,Footwear,Sandals,Flat Sandals,Olive,Winter,2010.0,Casual,Men Flat Sandals Olive
295,Women,Apparel,Topwear,Shirt,White,Summer,2014.0,Sports,Women Shirt White
296,Women,Apparel,Dress,Maxi Dress,Peach,Spring,2019.0,Ethnic,Women Maxi Dress Peach
297,,Apparel,Bottomwear,Trousers,,Fall,2021.0,Sports,Men Trousers Green
298,Men,Footwear,Shoes,Formal Shoes,,Winter,2019.0,Party,Men Formal Shoes Turquoise Blue
299,Men,Footwear,Shoes,Sneakers,Navy Blue,,2025.0,Ethnic,Men Sneakers Navy Blue
300,Men,Footwear,Sandals,Flat Sandals,Yellow,Spring,2021.0,Travel,Men Flat Sandals Yellow
301,Men,Apparel,Jacket,Denim Jacket,Red,Winter,2015.0,Ethnic,Men Denim Jacket Red
302,Men,Apparel,Jacket,Leather Jacket,White,Spring,2021.0,Party,Men Leather Jacket White
303,,Footwear,Sandals,,Yellow,Spring,,Sports,Men Heeled Sandals Yellow
304,Men,Footwear,Shoes,Formal Shoes,Turquoise Blue,Winter,2013.0,Casual,Men Formal Shoes Turquoise Blue
305,Men,Apparel,Dress,Mini Dress,White,Spring,2013.0,Ethnic,Men Mini Dress White
306,Women,Footwear,Shoes,Sneakers,Coral,Summer,2022.0,Casual,Women Sneakers Coral
307,Women,Footwear,Sandals,Flat Sandals,Red,Spring,2019.0,Sports,Women Flat Sandals Red
308,Men,Apparel,Jacket,Denim Jacket,Peach,Spring,2016.0,Ethnic,Men Denim Jacket Peach
309,Women,Footwear,Flip Flops,Beach Flip Flops,Red,Fall,2021.0,Ethnic,Women Beach Flip Flops Red
310,Men,Apparel,Dress,Maxi Dress,,Summer,2011.0,Formal,Men Maxi Dress Black
311,Men,Footwear,Shoes,,Red,Fall,2025.0,Ethnic,Men Sneakers Red
312,Women,Apparel,Dress,Maxi Dress,Peach,Summer,2012.0,Sports,Women Maxi Dress Peach
313,Women,Apparel,Dress,Mini Dress,Coral,Summer,2015.0,Formal,Women Mini Dress Coral
314,Men,Apparel,Dress,Mini Dress,Yellow,Fall,2017.0,Ethnic,Men Mini Dress Yellow
315,Men,Apparel,Dress,Mini Dress,White,Summer,2022.0,Ethnic,Men Mini Dress White
316,Women,Footwear,Sandals,Flat Sandals,Red,Winter,2016.0,Formal,Women Flat Sandals Red
317,,Footwear,Shoes,Sneakers,White,Fall,2014.0,Travel,Men Sneakers White
318,Women,Apparel,Bottomwear,Jeans,White,,2010.0,Ethnic,Women Jeans White
319,Men,Footwear,Sandals,Heeled Sandals,,Spring,2025.0,Sports,Men Heeled Sandals White
320,Men,Apparel,Topwear,T-shirt,Peach,Spring,2020.0,Sports,Men T-shirt Peach
321,,Apparel,Jacket,Leather Jacket,Navy Blue,Winter,2022.0,Travel,Men Leather Jacket Navy Blue
322,Women,Footwear,Shoes,Formal Shoes,Green,Summer,2014.0,Sports,Women Formal Shoes Green
323,Women,Footwear,Flip Flops,Beach Flip Flops,White,Spring,2016.0,Sports,Women Beach Flip Flops White
324,Women,Apparel,Jacket,Denim Jacket,Olive,Spring,2011.0,Formal,Women Denim Jacket Olive
325,Women,Footwear,Flip Flops,Beach Flip Flops,Black,,2016.0,Casual,Women Beach Flip Flops Black
326,Women,Footwear,Flip Flops,Beach Flip Flops,Black,Summer,2017.0,Ethnic,Women Beach Flip Flops Black
327,Men,Footwear,Flip Flops,Beach Flip Flops,Navy Blue,Summer,2023.0,Formal,Men Beach Flip Flops Navy Blue
328,Women,Apparel,Topwear,Shirt,Yellow,Fall,2022.0,Casual,Women Shirt Yellow
329,Men,Apparel,Topwear,T-shirt,Coral,Summer,2025.0,Travel,Men T-shirt Coral
330,Women,Apparel,Jacket,Leather Jacket,Peach,Winter,2017.0,Travel,Women Leather Jacket Peach
331,Women,Footwear,Shoes,Formal Shoes,Yellow,Winter,,Travel,Women Formal Shoes Yellow
332,Women,Footwear,Sandals,Flat Sandals,White,Winter,2020.0,Party,Women Flat Sandals White
333,Women,Footwear,Flip Flops,Beach Flip Flops,Turquoise Blue,Fall,2020.0,Ethnic,Women Beach Flip Flops Turquoise Blue
334,Men,Footwear,Flip Flops,Beach Flip Flops,Coral,Spring,2015.0,Ethnic,Men Beach Flip Flops Coral
335,Women,Footwear,Flip Flops,Beach Flip Flops,Turquoise Blue,Fall,2015.0,Casual,Women Beach Flip Flops Turquoise Blue
336,Women,Footwear,Sandals,Heeled Sandals,Yellow,Winter,,Ethnic,Women Heeled Sandals Yellow
337,Men,Footwear,Flip Flops,Beach Flip Flops,Black,Fall,2010.0,Ethnic,Men Beach Flip Flops Black
338,Women,Apparel,Bottomwear,Trousers,Black,Summer,2013.0,Formal,Women Trousers Black
339,Women,Footwear,Shoes,Sneakers,Navy Blue,Spring,2011.0,Casual,Women Sneakers Navy Blue
340,Women,Footwear,Flip Flops,Beach Flip Flops,Turquoise Blue,Summer,2024.0,Ethnic,Women Beach Flip Flops Turquoise Blue
341,Men,Apparel,Bottomwear,Shorts,Green,,2022.0,Formal,Men Shorts Green
342,Women,Apparel,Dress,Mini Dress,Coral,Winter,2013.0,Sports,Women Mini Dress Coral
343,Men,Apparel,Jacket,Leather Jacket,Black,Fall,2016.0,Travel,Men Leather Jacket Black
344,Women,Apparel,Jacket,Leather Jacket,Turquoise Blue,Summer,2024.0,Formal,Women Leather Jacket Turquoise Blue
345,Men,Apparel,Bottomwear,Jeans,Coral,Summer,2014.0,Travel,Men Jeans Coral
346,Women,Footwear,Sandals,Heeled Sandals,,Summer,2022.0,Formal,Women Heeled Sandals Black
347,Women,Apparel,Bottomwear,Trousers,Coral,Spring,2020.0,Travel,Women Trousers Coral
348,,Apparel,Dress,Maxi Dress,White,Summer,2012.0,Travel,Women Maxi Dress White
349,Women,Footwear,Sandals,Flat Sandals,Peach,Spring,2024.0,Sports,Women Flat Sandals Peach
350,Women,Apparel,Topwear,Blouse,Peach,Fall,2013.0,Ethnic,Women Blouse Peach
351,Men,,Bottomwear,Trousers,Black,Fall,2011.0,Party,Men Trousers Black
352,Women,Footwear,Shoes,Sneakers,Coral,Fall,2018.0,Casual,Women Sneakers Coral
353,,Apparel,Dress,Mini Dress,White,Fall,2018.0,Party,Men Mini Dress White
354,Men,Footwear,Shoes,Sneakers,Yellow,Summer,2014.0,Ethnic,Men Sneakers Yellow
355,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2015.0,Sports,Men Formal Shoes Black
356,Men,Footwear,Shoes,Formal Shoes,Peach,Spring,2020.0,Ethnic,Men Formal Shoes Peach
357,Women,Footwear,Flip Flops,Beach Flip Flops,Green,Spring,2024.0,Travel,Women Beach Flip Flops Green
358,Men,Apparel,Topwear,Shirt,Black,Summer,2024.0,Party,Men Shirt Black
359,Men,Apparel,Topwear,Blouse,White,Spring,2015.0,Casual,Men Blouse White
360,Women,Footwear,Shoes,Sneakers,Green,Summer,2022.0,Sports,Women Sneakers Green
361,Men,Footwear,Shoes,Sneakers,Turquoise Blue,Spring,2016.0,Ethnic,Men Sneakers Turquoise Blue
362,Women,Apparel,,T-shirt,Olive,Fall,2014.0,Travel,Women T-shirt Olive
363,Men,Apparel,Topwear,Shirt,Peach,Summer,2021.0,Party,Men Shirt Peach
364,Women,Footwear,Sandals,Flat Sandals,White,Summer,2022.0,Travel,Women Flat Sandals White
365,Men,Apparel,Bottomwear,Jeans,Coral,Winter,2025.0,Sports,Men Jeans Coral
366,Men,Footwear,Sandals,Flat Sandals,Olive,Summer,2016.0,Travel,Men Flat Sandals Olive
367,Men,,Sandals,Flat Sandals,Peach,Summer,2017.0,Travel,Men Flat Sandals Peach
368,Men,Apparel,Topwear,Shirt,Coral,Winter,2012.0,Formal,Men Shirt Coral
369,Men,Apparel,Bottomwear,Trousers,Black,Summer,2018.0,Formal,Men Trousers Black
370,Women,Apparel,Topwear,Shirt,Black,Summer,2010.0,Formal,Women Shirt Black
371,Men,Footwear,Sandals,Heeled Sandals,Olive,Winter,2015.0,Ethnic,Men Heeled Sandals Olive
372,Men,Apparel,Topwear,Blouse,Black,Fall,2017.0,Sports,Men Blouse Black
373,Men,Apparel,Topwear,T-shirt,Yellow,Fall,2016.0,Sports,Men T-shirt Yellow
374,Men,Footwear,Sandals,Flat Sandals,Black,Winter,2024.0,Ethnic,Men Flat Sandals Black
375,Women,Apparel,Jacket,Denim Jacket,Black,Spring,2025.0,Casual,Women Denim Jacket Black
376,Women,Apparel,Dress,Maxi Dress,Navy Blue,Summer,2018.0,Formal,Women Maxi Dress Navy Blue
377,Men,Apparel,,Shirt,Turquoise Blue,Spring,2016.0,Ethnic,Men Shirt Turquoise Blue
378,Men,Apparel,Jacket,Denim Jacket,Navy Blue,Spring,2011.0,,Men Denim Jacket Navy Blue
379,Women,Apparel,Bottomwear,Trousers,Green,,2012.0,Casual,Women Trousers Green
380,Women,Apparel,Dress,Mini Dress,Navy Blue,Summer,2022.0,Travel,Women Mini Dress Navy Blue
381,Men,Footwear,Sandals,Flat Sandals,Turquoise Blue,Fall,2011.0,Casual,Men Flat Sandals Turquoise Blue
382,Men,Footwear,Shoes,Sneakers,Peach,Winter,2017.0,Party,Men Sneakers Peach
383,Men,Footwear,Sandals,Heeled Sandals,Peach,Fall,2012.0,Formal,Men Heeled Sandals Peach
384,Men,Footwear,Shoes,Sneakers,Turquoise Blue,Summer,2019.0,Sports,Men Sneakers Turquoise Blue
385,Men,Footwear,Flip Flops,Beach Flip Flops,Yellow,Spring,2024.0,Sports,Men Beach Flip Flops Yellow
386,Men,Apparel,Dress,Mini Dress,Peach,Winter,2015.0,Travel,Men Mini Dress Peach
387,Women,Apparel,Jacket,Leather Jacket,Yellow,Winter,2016.0,Ethnic,Women Leather Jacket Yellow
388,Men,Footwear,Flip Flops,Beach Flip Flops,Peach,Fall,2014.0,Casual,Men Beach Flip Flops Peach
389,Men,Footwear,Flip Flops,Beach Flip Flops,Peach,Summer,2014.0,Travel,Men Beach Flip Flops Peach
390,Men,Footwear,Shoes,Sneakers,Black,Spring,2012.0,Ethnic,Men Sneakers Black
391,Women,Footwear,Flip Flops,Beach Flip Flops,Navy Blue,Fall,2021.0,Party,Women Beach Flip Flops Navy Blue
392,Men,Footwear,Sandals,Heeled Sandals,White,Summer,2014.0,,Men Heeled Sandals White
393,Women,Footwear,Shoes,Formal Shoes,Coral,Winter,2016.0,Formal,Women Formal Shoes Coral
394,Men,Apparel,Topwear,T-shirt,Green,Fall,2025.0,Casual,Men T-shirt Green
395,Men,Footwear,Sandals,Heeled Sandals,Coral,,2018.0,Travel,Men Heeled Sandals Coral
396,Men,Footwear,Flip Flops,Beach Flip Flops,Yellow,Winter,2011.0,Party,Men Beach Flip Flops Yellow
397,Men,Apparel,Bottomwear,Shorts,Yellow,,2019.0,Party,Men Shorts Yellow
398,Women,Footwear,Flip Flops,Beach Flip Flops,Black,Winter,2014.0,Ethnic,Women Beach Flip Flops Black
399,Men,Footwear,Flip Flops,Beach Flip Flops,Black,Winter,2010.0,Sports,Men Beach Flip Flops Black
400,Women,Apparel,Topwear,T-shirt,White,Winter,2017.0,Party,Women T-shirt White
401,Men,Apparel,Topwear,,Turquoise Blue,Summer,2025.0,Casual,Men T-shirt Turquoise Blue
402,Men,Apparel,Dress,Maxi Dress,Black,Winter,2018.0,Ethnic,Men Maxi Dress Black
403,Men,Apparel,Bottomwear,Trousers,White,Summer,2013.0,Formal,Men Trousers White
404,Women,Footwear,Shoes,Sneakers,Olive,Summer,2020.0,Casual,Women Sneakers Olive
405,Women,Footwear,Flip Flops,Beach Flip Flops,Peach,Winter,2023.0,,Women Beach Flip Flops Peach
406,Women,Apparel,Jacket,Leather Jacket,Turquoise Blue,Summer,2013.0,Formal,Women Leather Jacket Turquoise Blue
407,Men,Footwear,Shoes,Sneakers,Olive,Spring,2018.0,Travel,Men Sneakers Olive
408,Women,Footwear,Shoes,Formal Shoes,Black,Summer,2018.0,Sports,Women Formal Shoes Black
409,Women,Footwear,Shoes,Formal Shoes,Coral,Summer,2012.0,Travel,Women Formal Shoes Coral
410,Men,Apparel,Jacket,Denim Jacket,Olive,Spring,2020.0,Sports,Men Denim Jacket Olive
411,Women,Footwear,Flip Flops,Beach Flip Flops,Coral,Spring,2025.0,Sports,Women Beach Flip Flops Coral
412,Women,Footwear,,Sneakers,Coral,Summer,2014.0,Party,Women Sneakers Coral
413,Women,Apparel,Bottomwear,,Red,Fall,2012.0,Travel,Women Jeans Red
414,Women,Footwear,Shoes,Formal Shoes,Coral,Summer,2020.0,Sports,Women Formal Shoes Coral
415,Women,Apparel,Dress,Mini Dress,Olive,Winter,2025.0,Travel,Women Mini Dress Olive
416,Men,Apparel,Topwear,Blouse,Yellow,Fall,2012.0,Ethnic,Men Blouse Yellow
417,Women,Apparel,Jacket,Leather Jacket,Green,Spring,2015.0,Casual,Women Leather Jacket Green
418,Women,Apparel,Bottomwear,Trousers,Peach,Winter,2017.0,Formal,Women Trousers Peach
419,Women,Footwear,Sandals,Flat Sandals,Green,Winter,2022.0,Formal,Women Flat Sandals Green
420,Men,Apparel,Bottomwear,Trousers,White,,2018.0,Party,Men Trousers White
421,Women,Apparel,Jacket,Leather Jacket,Black,Spring,2014.0,Formal,Women Leather Jacket Black
422,Men,Apparel,Topwear,Shirt,Yellow,Spring,2017.0,Sports,Men Shirt Yellow
423,Men,Footwear,Sandals,Heeled Sandals,Peach,Winter,2018.0,Formal,Men Heeled Sandals Peach
424,Men,Apparel,Dress,Mini Dress,Green,Fall,2013.0,Ethnic,Men Mini Dress Green
425,Men,Footwear,Shoes,Sneakers,Peach,Fall,2023.0,Casual,Men Sneakers Peach
426,Men,Apparel,Dress,Maxi Dress,Yellow,Spring,,Sports,Men Maxi Dress Yellow
427,Women,Footwear,Sandals,Flat Sandals,Black,Winter,2017.0,Ethnic,Women Flat Sandals Black
428,Men,Footwear,Shoes,Formal Shoes,Green,,2012.0,Sports,Men Formal Shoes Green
429,Men,Apparel,Jacket,Denim Jacket,Green,Winter,,Sports,Men Denim Jacket Green
430,Women,Footwear,Shoes,Sneakers,Red,Winter,2018.0,Party,Women Sneakers Red
431,Men,Footwear,Shoes,Sneakers,Green,Fall,2017.0,Ethnic,Men Sneakers Green
432,Women,Apparel,Jacket,Leather Jacket,Coral,Fall,2012.0,Casual,Women Leather Jacket Coral
433,Men,Apparel,Dress,Mini Dress,Green,Spring,2021.0,Formal,Men Mini Dress Green
434,Women,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Women Formal Shoes Black
435,Women,Footwear,Flip Flops,Beach Flip Flops,Yellow,Spring,2014.0,Ethnic,Women Beach Flip Flops Yellow
436,Women,Footwear,Shoes,Formal Shoes,Navy Blue,Spring,2021.0,Travel,Women Formal Shoes Navy Blue
437,Men,Footwear,Sandals,Flat Sandals,Coral,Summer,2015.0,Sports,Men Flat Sandals Coral
438,Women,Apparel,Dress,Maxi Dress,,Summer,2024.0,Travel,Women Maxi Dress Navy Blue
439,Women,Apparel,Bottomwear,Jeans,Green,Fall,2011.0,Travel,Women Jeans Green
440,Men,Apparel,Jacket,Leather Jacket,Green,Winter,2013.0,Party,Men Leather Jacket Green
441,Men,Footwear,Flip Flops,Beach Flip Flops,Peach,Fall,2023.0,Casual,Men Beach Flip Flops Peach
442,Men,Apparel,Jacket,Denim Jacket,Green,Spring,2023.0,Casual,Men Denim Jacket Green
443,Men,Apparel,Topwear,Blouse,Black,Spring,,Casual,Men Blouse Black
444,Women,Apparel,Bottomwear,Trousers,Navy Blue,Summer,2023.0,Travel,Women Trousers Navy Blue
445,Men,,Bottomwear,Jeans,Coral,Fall,2013.0,Sports,Men Jeans Coral
446,Women,Footwear,Sandals,Heeled Sandals,Olive,,2012.0,Formal,Women Heeled Sandals Olive
447,Men,,Sandals,Flat Sandals,Black,Fall,2024.0,Formal,Men Flat Sandals Black
448,Men,Apparel,Dress,Mini Dress,Navy Blue,Fall,2010.0,Casual,Men Mini Dress Navy Blue
449,Women,Footwear,Flip Flops,Beach Flip Flops,Red,Summer,2010.0,Sports,Women Beach Flip Flops Red
450,Women,Footwear,Shoes,Sneakers,Green,Winter,2025.0,Party,Women Sneakers Green
451,Women,Footwear,Flip Flops,Beach Flip Flops,Peach,Winter,2016.0,Party,Women Beach Flip Flops Peach
452,Women,Footwear,Shoes,Sneakers,Turquoise Blue,,2010.0,Party,Women Sneakers Turquoise Blue
453,Men,Apparel,Bottomwear,Trousers,Green,Fall,2021.0,Casual,Men Trousers Green
454,Women,Footwear,Shoes,Sneakers,Coral,Summer,2011.0,Ethnic,Women Sneakers Coral
455,Men,Apparel,,Mini Dress,White,Summer,2016.0,Sports,Men Mini Dress White
456,Women,Footwear,Sandals,Flat Sandals,White,Spring,2017.0,,Women Flat Sandals White
457,Men,Apparel,Topwear,T-shirt,Yellow,Fall,2022.0,Formal,Men T-shirt Yellow
458,Women,Footwear,Flip Flops,Beach Flip Flops,Yellow,Fall,2010.0,Party,Women Beach Flip Flops Yellow
459,Women,Footwear,Sandals,Heeled Sandals,Red,Fall,2012.0,Casual,Women Heeled Sandals Red
460,Women,Footwear,Sandals,Flat Sandals,Navy Blue,Summer,2018.0,Formal,Women Flat Sandals Navy Blue
461,Men,Apparel,Topwear,Shirt,Green,Summer,2024.0,Party,Men Shirt Green
462,Women,Footwear,Flip Flops,Beach Flip Flops,Olive,Winter,2013.0,Party,Women Beach Flip Flops Olive
463,Women,Apparel,Jacket,Denim Jacket,Peach,Summer,2021.0,Travel,Women Denim Jacket Peach
464,Women,Footwear,Shoes,Sneakers,Turquoise Blue,Winter,2025.0,Travel,Women Sneakers Turquoise Blue
465,Women,Apparel,Jacket,Denim Jacket,Black,,2019.0,Casual,Women Denim Jacket Black
466,Women,Apparel,Dress,Mini Dress,Red,Winter,2025.0,Casual,Women Mini Dress Red
467,Women,Apparel,Bottomwear,Shorts,Peach,Spring,2024.0,Formal,Women Shorts Peach
468,Women,Footwear,Sandals,Flat Sandals,White,Summer,2019.0,Ethnic,Women Flat Sandals White
469,Women,Apparel,Topwear,Blouse,Turquoise Blue,Winter,2010.0,Party,Women Blouse Turquoise Blue
470,Men,Footwear,Shoes,Formal Shoes,Olive,Winter,2023.0,Casual,Men Formal Shoes Olive
471,,Apparel,Dress,Mini Dress,White,Summer,2020.0,Formal,Men Mini Dress White
472,Men,Apparel,Bottomwear,Jeans,Coral,Winter,2025.0,Ethnic,Men Jeans Coral
473,Men,Apparel,Dress,Maxi Dress,Red,Winter,2019.0,Ethnic,Men Maxi Dress Red
474,Women,Footwear,Shoes,Sneakers,Peach,Fall,2015.0,Casual,Women Sneakers Peach
475,Women,Apparel,Bottomwear,Shorts,Turquoise Blue,Summer,2019.0,Casual,Women Shorts Turquoise Blue
476,Women,Footwear,Sandals,Heeled Sandals,,Fall,2017.0,,Women Heeled Sandals Peach
477,Women,Apparel,Topwear,Blouse,,Spring,2025.0,Sports,Women Blouse White
478,Women,Footwear,Sandals,Heeled Sandals,,Winter,2010.0,Casual,Women Heeled Sandals Olive
479,Men,Footwear,Sandals,Flat Sandals,Red,Spring,2021.0,Casual,Men Flat Sandals Red
480,Women,Apparel,Bottomwear,Shorts,Coral,Winter,2012.0,Ethnic,Women Shorts Coral
481,Men,Footwear,Sandals,Heeled Sandals,Navy Blue,Spring,2011.0,Party,Men Heeled Sandals Navy Blue
482,Men,Apparel,Dress,Mini Dress,Turquoise Blue,Spring,2020.0,Casual,Men Mini Dress Turquoise Blue
483,Men,Apparel,Bottomwear,Trousers,Green,Summer,2013.0,Casual,Men Trousers Green
484,Women,Apparel,Dress,Maxi Dress,Black,Spring,2013.0,Travel,Women Maxi Dress Black
485,Men,Footwear,Shoes,Formal Shoes,Coral,Spring,2012.0,Casual,Men Formal Shoes Coral
486,Men,Footwear,Flip Flops,Beach Flip Flops,Olive,Summer,2020.0,Travel,Men Beach Flip Flops Olive
487,Men,Apparel,Dress,Mini Dress,Olive,Spring,2024.0,Formal,Men Mini Dress Olive
488,Men,Apparel,Jacket,Leather Jacket,Coral,Fall,2019.0,Party,Men Leather Jacket Coral
489,Women,Apparel,Bottomwear,Shorts,Red,Summer,2020.0,Formal,Women Shorts Red
490,Women,Footwear,Shoes,Sneakers,Peach,Summer,2025.0,Formal,Women Sneakers Peach
491,Women,Apparel,Jacket,Denim Jacket,Navy Blue,Fall,2010.0,Casual,Women Denim Jacket Navy Blue
492,Men,Apparel,Dress,Maxi Dress,Red,Fall,2015.0,Party,Men Maxi Dress Red
493,Men,Footwear,Shoes,Formal Shoes,Peach,Winter,2021.0,Party,Men Formal Shoes Peach
494,Men,Apparel,Bottomwear,Shorts,Olive,Fall,2020.0,Ethnic,Men Shorts Olive
495,Men,Apparel,Dress,Maxi Dress,Turquoise Blue,Spring,2016.0,Travel,Men Maxi Dress Turquoise Blue
496,Women,Footwear,Shoes,Formal Shoes,,Spring,2025.0,Sports,Women Formal Shoes Yellow
497,Women,Apparel,Dress,Mini Dress,Olive,Winter,2021.0,Party,Women Mini Dress Olive
498,Women,,Flip Flops,Beach Flip Flops,Olive,Fall,2025.0,Party,Women Beach Flip Flops Olive
499,Men,Footwear,Shoes,Sneakers,Black,Summer,2021.0,Casual,Men Sneakers Black
500,Men,Footwear,,Formal Shoes,Green,Fall,2022.0,Sports,Men Formal Shoes Green
